Title,Genre,Year,Rating,BoxOffice
movie77,animation,2000,4.3,155886
movie78,romance,2002,4.8,60536
movie79,comedy,1998,2.5,142499
movie80,thriller,2009,3.9,55997
movie81,drama,2010,4.8,73479
movie82,sci-fi,2022,1.1,15132
movie83,sci-fi,2001,4.5,139673
movie84,comedy,2017,1.8,170586
movie85,action,2015,2.2,77433
movie86,horror,1991,1.2,158727
movie87,drama,2007,2.3,44962
movie88,sci-fi,1996,4.5,5178
movie89,thriller,1996,4.1,150596
movie90,comedy,2009,2.9,193082
movie91,animation,2019,2.3,186478
movie92,action,1995,3.2,90458
movie93,horror,2011,1.8,7487
movie94,horror,1995,3.6,112872
movie95,sci-fi,2014,1.5,46213
movie96,horror,1999,3.7,32967
movie97,thriller,2012,1.9,7186
movie98,thriller,2008,3.5,172116
movie99,drama,2015,4.3,149035
movie100,romance,2008,1.5,56800
movie101,sci-fi,2013,1.1,42627
movie102,animation,2010,3.8,35332
movie103,horror,2013,3.7,164053
movie104,comedy,1990,1.3,131777
movie105,horror,2005,4.0,111440
movie106,drama,2007,1.2,152900
movie107,action,1990,1.1,118974
movie108,comedy,2022,4.0,7385
movie109,drama,2021,4.8,10776
movie110,horror,2018,3.1,65516
movie111,drama,2005,3.1,109735
movie112,romance,2015,2.7,60445
movie113,comedy,2014,4.4,82626
movie114,horror,1995,4.9,55442
movie115,comedy,2010,2.1,38060
movie116,comedy,2023,2.8,171052
movie117,drama,1994,4.5,29764
movie118,comedy,2020,4.0,107837
movie119,animation,1996,4.9,113230
movie120,animation,1998,2.7,33152
movie121,thriller,2018,3.3,113565
movie122,comedy,2023,4.6,191360
movie123,drama,2009,2.8,83251
movie124,horror,2011,4.4,112873
movie125,drama,2020,4.3,32217
movie126,drama,2022,4.5,166194
movie127,sci-fi,2019,2.8,53353
movie128,action,2000,1.3,82144
movie129,drama,1993,3.7,9072
movie130,sci-fi,2000,3.5,61397
movie131,drama,2004,3.3,79829
movie132,thriller,2007,3.4,186709
movie133,thriller,2015,4.8,18055
movie134,horror,2002,2.9,17166
movie135,sci-fi,2010,3.2,24515
movie136,sci-fi,2010,3.7,163934
movie137,horror,2005,4.6,43082
movie138,drama,1998,3.3,116165
movie139,sci-fi,2008,5.0,190022
movie140,comedy,2022,2.8,103648
movie141,comedy,2003,3.0,81224
movie142,horror,2005,2.7,57986
movie143,horror,2009,4.0,97433
movie144,animation,2020,2.6,132572
movie145,drama,1993,4.8,34958
movie146,thriller,1992,1.6,64699
movie147,action,2003,3.1,132380
movie148,romance,1994,3.6,16211
movie149,sci-fi,2022,3.2,179935
movie150,drama,2013,4.4,182486
movie151,drama,2010,3.8,81095
movie152,thriller,2012,2.3,167870
movie153,sci-fi,2016,4.6,74104
movie154,thriller,2021,1.3,192883
movie155,sci-fi,1995,4.2,198993
movie156,comedy,1996,2.0,108997
movie157,action,1995,1.9,36408
movie158,drama,2022,2.4,83770
movie159,drama,2006,2.3,187750
movie160,comedy,1996,3.0,5003
movie161,horror,1998,2.4,179872
movie162,thriller,1997,3.5,110358
movie163,horror,2017,2.8,180906
movie164,sci-fi,1996,2.3,175612
movie165,sci-fi,2016,3.9,137508
movie166,drama,2005,3.0,161912
movie167,thriller,2020,1.4,103787
movie168,comedy,2014,2.9,187071
movie169,horror,2021,2.2,108283
movie170,sci-fi,2002,3.2,116863
movie171,romance,1997,2.7,46148
movie172,comedy,2005,4.8,70815
movie173,animation,2020,3.0,15676
movie174,sci-fi,1991,1.4,24590
movie175,action,2015,3.1,175181
movie176,romance,2011,2.9,60641
movie177,thriller,2007,4.4,42924
movie178,romance,2003,1.6,52614
movie179,horror,1993,2.7,92883
movie180,thriller,2005,2.6,45880
movie181,thriller,1993,3.1,14367
movie182,comedy,1991,2.3,16937
movie183,horror,2007,4.6,165610
movie184,action,2011,2.1,184168
movie185,sci-fi,1992,4.8,157343
movie186,drama,2024,4.7,49783
movie187,sci-fi,2020,4.0,159207
movie188,thriller,2002,4.0,130603
movie189,thriller,1996,2.9,167438
movie190,horror,1997,3.6,135252
movie191,thriller,2010,2.1,180324
movie192,drama,2009,3.8,190855
movie193,horror,1991,1.2,187358
movie194,drama,1994,1.7,172140
movie195,romance,2009,1.9,77769
movie196,horror,2018,3.2,5165
movie197,romance,2008,3.6,20316
movie198,action,2004,2.1,44105
movie199,horror,2017,3.3,63256
movie200,thriller,1990,2.9,62106
movie201,animation,2015,2.3,95263
movie202,drama,1997,3.7,80472
movie203,drama,2018,1.4,12302
movie204,thriller,2016,3.9,108063
movie205,action,2001,2.2,138878
movie206,horror,1995,1.4,184200
movie207,horror,2016,1.6,30523
movie208,horror,2009,1.3,111444
movie209,drama,2016,4.2,177225
movie210,comedy,2021,2.9,113914
movie211,animation,2005,2.3,148409
movie212,animation,2014,4.2,181478
movie213,romance,2011,1.3,61988
movie214,romance,2019,4.4,143403
movie215,romance,2018,2.7,35543
movie216,romance,1994,4.6,93477
movie217,action,2010,2.1,16191
movie218,comedy,2000,4.4,169837
movie219,romance,1991,3.1,68468
movie220,comedy,2010,2.3,97552
movie221,romance,2001,2.8,144565
movie222,thriller,2008,1.9,95752
movie223,sci-fi,2014,4.5,156148
movie224,horror,2000,2.3,117028
movie225,horror,2002,4.3,188297
movie226,comedy,2014,2.5,152282
movie227,animation,2008,3.4,115822
movie228,thriller,1996,1.6,131722
movie229,romance,1991,4.0,6438
movie230,action,2002,2.9,137781
movie231,action,1996,4.5,70832
movie232,action,2001,4.3,128446
movie233,comedy,2020,2.8,78707
movie234,drama,1998,2.6,90775
movie235,romance,2022,3.7,94159
movie236,animation,2023,2.6,195059
movie237,action,1996,1.9,199497
movie238,horror,2023,1.3,85817
movie239,sci-fi,2015,2.2,99185
movie240,drama,2019,1.9,31863
movie241,sci-fi,2011,4.9,154354
movie242,comedy,2010,2.0,138207
movie243,animation,2016,2.5,67716
movie244,thriller,2019,4.2,187477
movie245,romance,2001,2.0,121173
movie246,action,2009,3.9,155733
movie247,romance,2024,1.3,71639
movie248,comedy,2009,2.2,49965
movie249,horror,1999,2.0,160246
movie250,animation,2022,1.7,113168
movie251,comedy,1999,4.2,132352
movie252,animation,2002,3.2,72824
movie253,horror,2010,1.9,97006
movie254,drama,2000,4.6,181930
movie255,drama,1999,1.3,68935
movie256,horror,1990,1.2,128325
movie257,drama,2019,3.4,131960
movie258,comedy,2020,1.1,132842
movie259,romance,2008,1.3,149409
movie260,drama,1992,2.9,21566
movie261,thriller,1995,2.5,75662
movie262,romance,2021,3.9,92613
movie263,horror,2003,3.3,170197
movie264,thriller,1994,3.7,103520
movie265,thriller,1998,2.9,164997
movie266,thriller,2018,1.3,38116
movie267,sci-fi,2016,3.8,54100
movie268,animation,1996,1.3,29881
movie269,animation,1997,4.4,182395
movie270,animation,1994,2.1,178711
movie271,drama,2024,2.9,103054
movie272,action,1990,3.3,26275
movie273,romance,2003,3.4,90848
movie274,sci-fi,2009,2.4,110826
movie275,drama,2015,4.6,55703
movie276,action,1998,5.0,31500
movie277,sci-fi,1994,3.8,105033
movie278,thriller,2012,4.6,119773
movie279,comedy,2003,1.6,96662
movie280,horror,2018,3.2,113372
movie281,action,1992,2.0,91381
movie282,thriller,2015,1.1,66592
movie283,comedy,2015,4.1,27194
movie284,horror,2003,1.2,185805
movie285,sci-fi,2005,1.5,17027
movie286,thriller,2019,2.7,181889
movie287,romance,1992,2.4,133092
movie288,drama,2001,3.7,158601
movie289,horror,1992,4.4,109955
movie290,horror,2014,3.8,20349
movie291,sci-fi,2008,1.7,14168
movie292,romance,2016,4.7,146259
movie293,thriller,2000,1.5,126828
movie294,thriller,2014,3.9,31698
movie295,horror,2021,1.2,104965
movie296,sci-fi,1999,1.2,14126
movie297,animation,1993,4.4,159712
movie298,romance,2007,4.8,46127
movie299,thriller,1991,3.5,174978
movie300,thriller,2024,3.8,122874
movie301,animation,1996,2.5,169142
movie302,comedy,1997,3.1,143226
movie303,action,2024,4.5,118225
movie304,horror,2013,2.7,8250
movie305,thriller,1994,3.6,6800
movie306,drama,1997,5.0,181674
movie307,horror,1992,3.0,128079
movie308,sci-fi,1993,4.7,180478
movie309,action,2012,3.0,131166
movie310,thriller,2007,1.6,29190
movie311,comedy,2023,4.4,160054
movie312,comedy,2004,2.9,157023
movie313,sci-fi,2001,4.9,55226
movie314,animation,2013,2.1,172742
movie315,horror,2023,2.1,121639
movie316,comedy,2015,1.8,124017
movie317,comedy,2020,2.8,111086
movie318,action,2023,3.8,190806
movie319,animation,2019,3.3,58651
movie320,comedy,1994,2.6,110290
movie321,drama,2009,2.1,128646
movie322,sci-fi,2014,2.7,187541
movie323,thriller,2016,2.3,118112
movie324,animation,2007,2.7,116979
movie325,drama,1994,3.5,40164
movie326,animation,2015,3.8,67823
movie327,action,2003,4.1,157324
movie328,horror,2024,2.0,5462
movie329,animation,2012,4.1,91564
movie330,action,1999,2.4,26410
movie331,thriller,1998,4.2,6163
movie332,drama,1996,4.8,116152
movie333,comedy,2003,1.1,64845
movie334,thriller,1998,1.2,104297
movie335,romance,1998,3.0,61534
movie336,sci-fi,1990,1.1,109280
movie337,sci-fi,1992,1.5,102986
movie338,drama,1997,3.8,195884
movie339,animation,1993,4.0,6903
movie340,drama,1991,3.0,136581
movie341,drama,2018,4.2,30559
movie342,horror,2002,4.2,187335
movie343,thriller,2001,5.0,144511
movie344,thriller,2017,4.3,177352
movie345,romance,1995,2.6,196494
movie346,drama,2012,1.9,179398
movie347,horror,2000,4.0,11158
movie348,action,1996,4.8,73208
movie349,sci-fi,1990,1.3,63409
movie350,comedy,2019,4.9,159339
movie351,drama,2010,3.7,183075
movie352,romance,2017,1.1,19828
movie353,sci-fi,2008,4.7,161820
movie354,sci-fi,2006,1.5,103639
movie355,drama,1995,3.3,21547
movie356,animation,2006,2.4,97562
movie357,action,2010,1.6,96488
movie358,action,2000,2.8,8576
movie359,sci-fi,2013,3.6,169881
movie360,romance,2015,1.8,101869
movie361,romance,2021,3.7,46905
movie362,animation,2020,3.5,118537
movie363,romance,2009,4.7,124196
movie364,romance,2009,1.5,61062
movie365,drama,1994,3.9,168012
movie366,romance,2004,2.4,166427
movie367,sci-fi,2024,4.3,26576
movie368,romance,2010,1.4,195526
movie369,animation,2010,4.0,46092
movie370,drama,2000,3.6,14567
movie371,comedy,2002,3.8,87961
movie372,drama,2017,2.2,192197
movie373,romance,1995,1.7,77342
movie374,romance,2005,3.3,154470
movie375,animation,2021,4.8,84598
movie376,thriller,2001,4.2,18603
movie377,horror,1994,1.6,133253
movie378,romance,1995,4.2,31124
movie379,drama,2005,2.9,73668
movie380,animation,2024,3.7,114449
movie381,action,1998,2.9,115537
movie382,sci-fi,1996,3.8,124291
movie383,animation,2001,1.1,23602
movie384,action,1996,2.6,52672
movie385,drama,2010,3.0,19161
movie386,action,2001,4.7,180060
movie387,drama,2005,4.5,82040
movie388,romance,2010,4.4,194938
movie389,horror,2007,4.1,63892
movie390,action,2004,2.3,150007
movie391,horror,2008,3.3,47765
movie392,horror,2016,2.3,80912
movie393,action,2012,3.5,83922
movie394,sci-fi,2022,2.4,173387
movie395,drama,1998,4.7,98310
movie396,comedy,2021,3.4,150530
movie397,romance,1997,2.2,136601
movie398,action,1995,1.8,131267
movie399,drama,2002,2.8,42628
movie400,romance,1997,4.2,129170
movie401,animation,2009,1.4,47376
movie402,action,2013,3.3,112287
movie403,action,1990,2.8,91473
movie404,comedy,2018,1.4,76905
movie405,drama,2019,1.5,49005
movie406,romance,2023,2.1,13422
movie407,horror,2014,3.6,109736
movie408,comedy,2004,2.2,17025
movie409,comedy,2010,1.7,77306
movie410,drama,2003,2.6,170643
movie411,comedy,2011,2.1,183031
movie412,animation,2022,2.9,91228
movie413,thriller,2018,3.2,196100
movie414,drama,2020,4.0,52336
movie415,horror,2022,2.1,194604
movie416,thriller,2014,4.7,127905
movie417,animation,2006,4.2,160688
movie418,sci-fi,2015,4.6,157892
movie419,drama,2001,3.7,136328
movie420,sci-fi,2009,4.6,104174
movie421,sci-fi,2010,2.8,82406
movie422,thriller,2019,1.6,180845
movie423,comedy,1998,3.2,100363
movie424,animation,1996,4.7,27904
movie425,thriller,2008,3.7,61188
movie426,action,2023,1.7,168464
movie427,action,2022,2.7,175419
movie428,romance,2018,1.6,97485
movie429,romance,2002,4.1,195306
movie430,sci-fi,1995,1.2,41707
movie431,drama,2000,1.9,109625
movie432,action,1993,1.5,112704
movie433,horror,2006,3.4,140777
movie434,horror,2020,4.5,88634
movie435,horror,2020,3.2,171575
movie436,sci-fi,2024,2.3,72460
movie437,comedy,1993,2.6,25538
movie438,sci-fi,2022,1.4,77388
movie439,sci-fi,1990,2.5,63482
movie440,thriller,2016,1.5,20279
movie441,comedy,2001,2.5,184258
movie442,animation,2020,2.4,144251
movie443,horror,1991,1.6,181064
movie444,thriller,2009,3.7,35282
movie445,horror,2024,4.9,192543
movie446,romance,2015,1.6,101366
movie447,drama,1990,4.3,74231
movie448,action,2000,3.5,17069
movie449,horror,2004,4.2,170695
movie450,drama,1997,4.1,137984
movie451,action,2007,4.0,72426
movie452,action,2018,1.3,29552
movie453,thriller,1995,3.8,192817
movie454,action,2020,3.4,132624
movie455,animation,2023,4.5,57208
movie456,animation,2018,2.0,49498
movie457,drama,2012,1.6,187900
movie458,horror,2018,4.4,74149
movie459,action,2022,4.7,139144
movie460,action,1993,4.4,17105
movie461,action,1992,4.0,139100
movie462,comedy,2014,2.6,99447
movie463,drama,2020,2.3,164058
movie464,horror,2022,3.9,85151
movie465,romance,2014,4.2,173854
movie466,thriller,2023,4.8,154786
movie467,horror,2015,2.5,151022
movie468,action,1996,2.5,44570
movie469,horror,2020,3.9,25206
movie470,drama,1996,3.2,128793
movie471,sci-fi,1999,4.3,11854
movie472,comedy,2012,2.1,39124
movie473,thriller,2007,2.3,174629
movie474,comedy,2016,4.9,151096
movie475,romance,1999,3.3,161070
movie476,thriller,2011,4.3,11747
movie477,horror,2000,4.5,192951
movie478,comedy,1994,3.6,63007
movie479,comedy,2009,1.3,80108
movie480,horror,2009,1.8,150550
movie481,thriller,2019,4.5,124316
movie482,drama,2010,4.7,148942
movie483,horror,2005,2.3,93458
movie484,animation,1992,3.1,87374
movie485,comedy,1996,1.3,56147
movie486,sci-fi,2003,4.7,97102
movie487,romance,2003,1.5,145452
movie488,thriller,2024,2.1,169982
movie489,comedy,1998,4.4,12926
movie490,action,2022,3.8,195366
movie491,thriller,2018,3.0,16977
movie492,sci-fi,2013,2.7,97030
movie493,animation,2016,1.5,132084
movie494,sci-fi,2015,1.8,27429
movie495,drama,2024,1.1,142190
movie496,comedy,2019,2.9,38766
movie497,action,1992,3.3,120642
movie498,comedy,2003,4.5,166051
movie499,thriller,2015,1.8,198437
movie500,action,2010,2.7,101223
movie501,thriller,2001,2.2,128146
movie502,drama,1994,3.0,168838
movie503,romance,2018,3.2,18182
movie504,horror,2006,2.5,33633
movie505,comedy,2022,1.4,62874
movie506,horror,2019,4.4,59140
movie507,thriller,2012,4.1,70914
movie508,thriller,2022,1.3,158823
movie509,thriller,2017,2.8,107338
movie510,thriller,2015,5.0,58322
movie511,romance,2002,2.9,108781
movie512,thriller,2011,4.7,153972
movie513,action,2011,4.7,199378
movie514,animation,1991,1.2,50130
movie515,thriller,2003,3.7,158090
movie516,action,1994,3.8,7754
movie517,animation,2023,3.1,127008
movie518,comedy,2010,3.0,57293
movie519,horror,2024,3.9,22049
movie520,thriller,1996,5.0,193777
movie521,horror,2013,4.8,132574
movie522,animation,1995,3.2,95071
movie523,drama,2012,2.8,106172
movie524,comedy,1993,1.9,146871
movie525,thriller,1994,1.8,141076
movie526,sci-fi,2007,2.4,52414
movie527,animation,2005,1.8,86771
movie528,horror,2019,2.7,117382
movie529,action,2005,2.5,52559
movie530,sci-fi,1996,2.6,9417
movie531,drama,2007,3.5,104823
movie532,action,1995,4.0,49953
movie533,comedy,1999,2.5,139704
movie534,action,1993,3.4,46108
movie535,animation,1994,3.6,36168
movie536,comedy,2024,2.1,112088
movie537,comedy,1994,4.4,20746
movie538,drama,1991,4.7,193548
movie539,drama,2018,4.0,181836
movie540,thriller,2008,2.4,118596
movie541,horror,1999,1.1,113249
movie542,thriller,1999,4.1,97451
movie543,romance,1993,2.4,182648
movie544,thriller,1995,2.8,149919
movie545,drama,1991,2.0,118836
movie546,action,1998,2.5,116740
movie547,thriller,2022,2.8,183470
movie548,romance,2014,2.8,115125
movie549,animation,2017,2.5,32253
movie550,action,2008,3.3,96220
movie551,horror,2007,2.3,19640
movie552,sci-fi,2009,1.8,149756
movie553,sci-fi,2000,1.8,21773
movie554,drama,1997,5.0,199983
movie555,horror,1991,5.0,11303
movie556,horror,2003,1.1,171201
movie557,action,1991,1.5,6077
movie558,thriller,1994,4.1,82841
movie559,romance,2009,4.4,105339
movie560,sci-fi,2015,2.0,99456
movie561,action,2005,4.8,129999
movie562,animation,2023,2.4,63699
movie563,drama,2019,4.4,77871
movie564,animation,2015,4.1,20796
movie565,romance,2000,4.9,174260
movie566,thriller,2007,1.7,73272
movie567,action,2005,1.1,21959
movie568,horror,1996,1.4,155002
movie569,thriller,2013,2.9,90548
movie570,thriller,2001,2.3,40176
movie571,action,2013,1.5,179242
movie572,action,2018,3.0,128149
movie573,romance,2009,1.5,46136
movie574,horror,2011,4.4,62929
movie575,romance,2001,5.0,177288
movie576,animation,2014,3.1,91035
movie577,horror,1990,3.3,9236
movie578,action,2006,4.6,44756
movie579,action,1990,1.7,96513
movie580,horror,2012,5.0,29168
movie581,romance,1990,4.4,175758
movie582,thriller,2023,1.9,141291
movie583,action,2022,3.7,97374
movie584,drama,2014,2.3,89553
movie585,horror,2001,1.3,97352
movie586,drama,1994,2.2,168103
movie587,sci-fi,2020,2.5,95095
movie588,thriller,2017,2.4,65227
movie589,comedy,2024,3.2,131866
movie590,sci-fi,2017,4.1,52758
movie591,comedy,2015,1.3,126594
movie592,horror,2003,2.9,187440
movie593,drama,2003,2.9,92063
movie594,comedy,1994,2.4,26090
movie595,drama,2022,2.7,158728
movie596,romance,2021,1.1,148115
movie597,comedy,2017,2.2,5056
movie598,drama,1990,1.2,174986
movie599,action,2007,2.8,18887
movie600,thriller,2008,4.9,41325
movie601,romance,2023,3.5,165854
movie602,thriller,1991,3.2,54909
movie603,action,2006,4.3,59075
movie604,drama,1997,1.7,139557
movie605,drama,2020,1.8,72550
movie606,drama,1999,1.6,133924
movie607,horror,2017,2.4,115325
movie608,drama,2000,2.8,183390
movie609,thriller,2011,1.4,93678
movie610,romance,2017,4.2,132261
movie611,thriller,2010,2.1,69427
movie612,thriller,1996,2.1,31896
movie613,animation,2006,3.9,174884
movie614,romance,1996,4.7,56228
movie615,thriller,2013,3.9,118699
movie616,horror,2002,2.5,89985
movie617,sci-fi,2015,1.2,118925
movie618,thriller,2007,5.0,22358
movie619,thriller,2005,1.9,174286
movie620,comedy,1992,3.3,157273
movie621,animation,2003,4.2,194288
movie622,sci-fi,2008,2.8,109565
movie623,action,2002,3.3,157726
movie624,drama,1991,3.4,79066
movie625,action,2013,2.3,164884
movie626,animation,2020,3.2,5955
movie627,animation,2017,3.5,88785
movie628,comedy,2011,4.4,125826
movie629,sci-fi,2003,4.0,174252
movie630,comedy,2011,2.5,146207
movie631,animation,2013,3.9,154993
movie632,thriller,2006,1.6,37246
movie633,romance,2005,2.1,33429
movie634,drama,2008,1.4,58339
movie635,comedy,2017,2.4,138893
movie636,romance,2011,3.0,182221
movie637,comedy,2005,2.5,62301
movie638,romance,2015,2.2,48723
movie639,thriller,2000,1.2,13095
movie640,romance,2013,2.1,154421
movie641,romance,1997,3.9,167320
movie642,sci-fi,1997,1.5,124922
movie643,comedy,2013,1.9,74019
movie644,comedy,2011,2.2,54047
movie645,sci-fi,2022,4.5,49937
movie646,action,2007,3.0,172567
movie647,thriller,2002,4.5,90614
movie648,romance,2002,1.3,105401
movie649,comedy,2009,2.9,121450
movie650,animation,2002,2.5,94975
movie651,thriller,2009,4.0,100763
movie652,comedy,1990,3.0,21430
movie653,romance,1994,4.4,149850
movie654,sci-fi,2004,2.2,180887
movie655,romance,2019,1.5,147154
movie656,comedy,2021,2.3,11790
movie657,action,1992,4.2,97117
movie658,horror,2008,2.7,19586
movie659,thriller,2004,3.2,198982
movie660,comedy,1995,1.1,141763
movie661,sci-fi,2023,4.7,78421
movie662,romance,1996,3.3,166147
movie663,comedy,2005,2.2,167858
movie664,comedy,2010,3.8,156025
movie665,action,1995,2.8,146221
movie666,drama,2005,2.0,21904
movie667,horror,2023,4.6,69244
movie668,sci-fi,2003,3.3,161608
movie669,romance,1990,3.6,140635
movie670,animation,1993,3.0,88234
movie671,sci-fi,1996,3.8,83601
movie672,romance,2017,4.7,116906
movie673,romance,1992,2.5,100049
movie674,drama,2012,1.9,105131
movie675,sci-fi,1990,3.5,47881
movie676,horror,2000,4.0,194315
movie677,animation,2009,1.1,161113
movie678,sci-fi,1990,3.7,158402
movie679,animation,2023,2.0,125897
movie680,romance,2010,1.8,198587
movie681,sci-fi,2014,1.4,194715
movie682,drama,2018,4.3,21638
movie683,animation,2013,3.6,15719
movie684,sci-fi,2012,2.5,74429
movie685,drama,2007,1.9,103254
movie686,animation,2001,4.4,113846
movie687,comedy,2015,3.6,15289
movie688,sci-fi,2018,4.7,12622
movie689,animation,2009,2.5,164728
movie690,thriller,2008,3.2,39506
movie691,thriller,2019,2.1,181229
movie692,animation,2019,3.2,66937
movie693,thriller,1997,1.7,12766
movie694,comedy,2015,2.0,155429
movie695,horror,2006,4.3,188611
movie696,thriller,2021,3.9,68461
movie697,romance,2009,2.2,68211
movie698,thriller,1999,4.0,8831
movie699,horror,2020,4.4,165186
movie700,comedy,1997,4.0,171043
movie701,romance,2007,3.1,104142
movie702,animation,1990,1.9,82236
movie703,comedy,2017,2.1,146244
movie704,comedy,2021,1.4,189563
movie705,sci-fi,2016,4.5,45184
movie706,romance,2022,2.8,165113
movie707,animation,1990,5.0,37215
movie708,romance,1992,3.4,5940
movie709,horror,2001,4.2,185404
movie710,romance,2002,1.9,118438
movie711,comedy,2022,4.7,22044
movie712,romance,2018,3.2,133718
movie713,horror,2008,1.7,6511
movie714,thriller,2000,2.8,85446
movie715,romance,2016,4.2,33105
movie716,comedy,2006,1.7,154072
movie717,sci-fi,2005,3.3,114810
movie718,sci-fi,2007,3.3,59458
movie719,comedy,1996,4.6,97650
movie720,sci-fi,1991,1.2,69030
movie721,thriller,1991,4.3,111763
movie722,sci-fi,1998,2.0,86079
movie723,drama,1998,2.7,139524
movie724,action,2012,3.7,170327
movie725,drama,2009,2.4,33928
movie726,thriller,2013,3.1,56852
movie727,sci-fi,2000,3.1,31337
movie728,action,2001,3.2,175142
movie729,action,2023,3.2,118754
movie730,sci-fi,2002,4.5,80538
movie731,horror,1996,3.4,193371
movie732,romance,2011,2.2,185664
movie733,drama,2001,2.0,166779
movie734,sci-fi,2012,1.7,15386
movie735,horror,2014,4.2,158474
movie736,thriller,2005,2.7,79432
movie737,action,1992,4.8,30494
movie738,drama,2012,4.0,40879
movie739,horror,2014,3.0,102439
movie740,horror,2005,1.3,89574
movie741,drama,2004,1.3,117596
movie742,comedy,1998,3.0,44244
movie743,thriller,2024,3.7,175656
movie744,romance,2017,3.6,85406
movie745,action,1990,3.9,41172
movie746,sci-fi,2021,3.2,112670
movie747,drama,1996,1.6,49815
movie748,sci-fi,2006,4.5,193174
movie749,romance,1999,3.4,78069
movie750,horror,2023,3.1,9429
movie751,action,1999,4.5,75525
movie752,romance,2014,1.8,150529
movie753,sci-fi,2009,4.7,195490
movie754,drama,2000,3.4,108367
movie755,drama,2016,2.8,75635
movie756,drama,2021,4.1,54813
movie757,thriller,2003,1.9,6586
movie758,comedy,2018,1.6,39129
movie759,romance,1998,4.1,101390
movie760,comedy,2013,4.3,199823
movie761,thriller,2010,1.7,154734
movie762,thriller,2005,2.4,147700
movie763,romance,2010,3.8,135631
movie764,animation,1991,3.0,7516
movie765,romance,2005,4.6,155159
movie766,comedy,2001,1.8,189719
movie767,drama,2011,2.4,60803
movie768,sci-fi,2015,2.1,116497
movie769,comedy,2019,4.3,183084
movie770,romance,2003,3.2,181893
movie771,romance,2016,4.0,23291
movie772,comedy,2017,3.5,155430
movie773,drama,2003,4.6,28963
movie774,animation,2022,3.3,45209
movie775,animation,1998,3.0,73022
movie776,horror,2007,4.2,125680
movie777,action,1996,1.0,123816
movie778,comedy,1995,1.1,183789
movie779,drama,2013,4.4,27835
movie780,thriller,1993,3.7,59607
movie781,horror,1991,2.1,144611
movie782,animation,1998,4.6,127206
movie783,animation,2002,1.3,127700
movie784,animation,2003,4.7,82069
movie785,comedy,2001,1.9,192754
movie786,drama,2016,3.8,112069
movie787,action,2000,3.8,121851
movie788,drama,1995,1.6,30724
movie789,action,2019,2.7,22023
movie790,thriller,2004,2.2,18949
movie791,thriller,2003,3.2,85486
movie792,animation,2005,3.0,11218
movie793,comedy,1996,1.5,158281
movie794,drama,2005,3.6,99352
movie795,sci-fi,2021,3.2,153802
movie796,horror,2010,3.8,103595
